ID,age_range,datetime,gender,involved_person,legislation,location__latitude,location__longitude,location__street__id,location__street__name,object_of_search,officer_defined_ethnicity,operation,operation_name,outcome,outcome_linked_to_object_of_search,outcome_object__id,outcome_object__name,removal_of_more_than_outer_clothing,self_defined_ethnicity,type
35,Oct-17,2020-02-27T21:02:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Caribbean,Person search
36,over 34,2020-02-02T04:32:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.634279,-1.130922,883366,On or near Granby Place,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Caribbean,Person and Vehicle search
37,18-24,2020-02-07T19:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.63988,-1.118841,883033,On or near Parking Area,Controlled drugs,Asian,null,null,,null,,,TRUE,Other ethnic group - Not stated,Person search
38,Oct-17,2020-02-06T21:32:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.639814,-1.139118,883235,On or near Sanvey Gate,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Caribbean,Person search
39,18-24,2020-02-06T21:29:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.639814,-1.139118,883235,On or near Sanvey Gate,Controlled drugs,Asian,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,Other ethnic group - Not stated,Person and Vehicle search
40,over 34,2020-02-06T15:35:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.637674,-1.147819,883469,On or near Tudor Road,Controlled drugs,White,null,null,Community resolution,null,bu-community-resolution,Community resolution,FALSE,White - Any other White background,Person search
41,18-24,2020-02-10T20:50:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.638432,-1.129717,883293,On or near Lee Circle,Controlled drugs,Asian,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Asian/Asian British - Any other Asian background,Person search
42,Oct-17,2020-02-12T20:37:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Caribbean,Person search
43,Oct-17,2020-02-27T19:13:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,Asian,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Asian/Asian British - Any other Asian background,Person search
44,Oct-17,2020-02-27T21:11:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.635598,-1.12933,883314,On or near Yeoman Lane,Controlled drugs,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
45,25-34,2020-02-01T00:20:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.641197,-1.1291,884356,On or near A594,Offensive weapons,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
46,25-34,2020-02-28T21:33:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.625268,-1.125694,882370,On or near Sports/Recreation Area,Offensive weapons,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - Caribbean,Person search
47,18-24,2020-02-18T06:04:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.638556,-1.133113,883349,On or near Mansfield Street,Offensive weapons,Asian,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Mixed/Multiple ethnic groups - Any other Mixed/Multiple ethnic background,Person search
48,null,2020-02-08T05:07:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.633145,-1.129511,883365,On or near Granby Street,Offensive weapons,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
49,25-34,2020-02-08T05:18:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.633145,-1.129511,883365,On or near Granby Street,Offensive weapons,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
50,25-34,2020-02-26T06:10:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.639138,-1.137683,883355,On or near Junior Street,Offensive weapons,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
51,Oct-17,2020-02-28T22:15:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.625268,-1.125694,882370,On or near Sports/Recreation Area,Offensive weapons,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
52,Oct-17,2020-02-22T20:49:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.63611,-1.131802,883290,On or near Humberstone Gate,Offensive weapons,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - African,Person search
53,25-34,2020-02-25T02:15:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.625345,-1.148546,882276,On or near Sheffield Street,Article for use in theft,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
54,null,2020-02-01T09:20:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.642857,-1.125003,884332,On or near Calgary Road,Article for use in theft,White,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Other ethnic group - Not stated,Person search
55,Oct-17,2020-02-06T22:18:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.635598,-1.12933,883314,On or near Yeoman Lane,Article for use in theft,Black,null,null,Arrest,null,bu-arrest,Arrest,FALSE,Black/African/Caribbean/Black British - Any other Black/African/Caribbean background,Person search
56,Oct-17,2020-02-06T16:30:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.635695,-1.130274,883350,On or near Lower Free Lane,Evidence of offences under the Act,Black,null,null,A no further action disposal,null,bu-no-further-action,A no further action disposal,FALSE,Black/African/Caribbean/Black British - African,Person search
57,18-24,2020-02-04T08:16:00+00:00,Male,TRUE,Psychoactive Substances Act 2016 (s36(2)),52.633888,-1.138924,883425,On or near Peacock Lane,Psychoactive substances,White,null,null,Arrest,null,bu-arrest,Arrest,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
58,18-24,2020-02-04T08:16:00+00:00,Male,TRUE,Psychoactive Substances Act 2016 (s36(2)),52.633888,-1.138924,883425,On or near Peacock Lane,Psychoactive substances,White,null,null,Arrest,null,bu-arrest,Arrest,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person and Vehicle search
59,25-34,2020-02-04T19:48:52+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.631569,-1.124283,1489803,Leicester (Station),Controlled drugs,White,null,null,A no further action disposal,FALSE,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
60,over 34,2020-02-17T15:20:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.631569,-1.124283,1489803,Leicester (Station),Controlled drugs,White,null,null,A no further action disposal,FALSE,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
61,over 34,2020-02-17T17:30:00+00:00,Female,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.631569,-1.124283,1489803,Leicester (Station),Stolen goods,White,null,null,A no further action disposal,TRUE,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
62,25-34,2020-02-17T17:30:00+00:00,Male,TRUE,Police and Criminal Evidence Act 1984 (section 1),52.631569,-1.124283,1489803,Leicester (Station),Stolen goods,White,null,null,A no further action disposal,TRUE,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
63,25-34,2020-02-19T17:15:00+00:00,Male,TRUE,Misuse of Drugs Act 1971 (section 23),52.631569,-1.124283,1489803,Leicester (Station),Controlled drugs,White,null,null,A no further action disposal,FALSE,bu-no-further-action,A no further action disposal,FALSE,White - English/Welsh/Scottish/Northern Irish/British,Person search
